Months open state,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,0.014085,0.056338,0.197183,0.197183,0.112676,0.126761,0.098592,0.056338,0,0.014085,0,0.126761
Arizona,0.015152,0,0.030303,0.106061,0.060606,0.121212,0.106061,0.30303,0.015152,0,0,0.242424
Arkansas,0.016949,0,0,0.084746,0.169492,0.20339,0.220339,0.067797,0.033898,0.016949,0.016949,0.169492
California,0.013575,0,0.029412,0.058824,0.117647,0.128959,0.058824,0.033937,0.024887,0.006787,0.00905,0.5181
Colorado,0,0,0.081633,0.326531,0.295918,0.193878,0.040816,0.020408,0,0,0,0.040816
Connecticut,0,0.055556,0,0.185185,0.425926,0.092593,0.111111,0.037037,0.037037,0,0,0.055556
Delaware,0.035714,0.035714,0.142857,0.107143,0.25,0.25,0.071429,0.035714,0.035714,0,0,0.035714
District of Columbia,0,0,0.022727,0.045455,0.159091,0.227273,0.340909,0.068182,0.090909,0,0,0.045455
Florida,0.070513,0.012821,0.019231,0.019231,0.038462,0.051282,0.070513,0.089744,0.019231,0.038462,0,0.570513
Georgia,0.016129,0.008065,0.048387,0.080645,0.08871,0.153226,0.112903,0.129032,0.096774,0.024194,0.008065,0.233871
Idaho,0,0.081081,0.054054,0.135135,0.351351,0.189189,0.135135,0,0,0,0,0.054054
Illinois,0.026178,0.015707,0.062827,0.146597,0.324607,0.303665,0.052356,0.041885,0.005236,0,0,0.020942
Indiana,0,0.006944,0.048611,0.166667,0.3125,0.326389,0.069444,0.006944,0.020833,0,0,0.041667
Iowa,0,0,0.019802,0.168317,0.257426,0.514851,0.029703,0,0,0,0,0.009901
Kansas,0.012987,0,0.051948,0.168831,0.246753,0.337662,0.103896,0.038961,0.012987,0.012987,0,0.012987
Kentucky,0,0,0.010526,0.063158,0.136842,0.410526,0.221053,0.063158,0.021053,0.021053,0.010526,0.042105
Louisiana,0.017544,0.017544,0.105263,0.070175,0.017544,0.105263,0,0.017544,0.070175,0.052632,0,0.526316
Maine,0.030303,0.015152,0.015152,0.106061,0.257576,0.378788,0.090909,0.045455,0.015152,0,0,0.045455
Maryland,0,0,0.026087,0.147826,0.156522,0.217391,0.226087,0.06087,0.026087,0.008696,0.008696,0.121739
Massachusetts,0.0125,0.025,0.066667,0.1875,0.425,0.15,0.0875,0.008333,0,0.004167,0,0.033333
Michigan,0.004202,0.004202,0.054622,0.151261,0.281513,0.365546,0.033613,0.02521,0,0,0.004202,0.07563
Minnesota,0,0.007874,0.062992,0.220472,0.314961,0.338583,0.023622,0.015748,0.007874,0,0,0.007874
Mississippi,0.022222,0,0.111111,0.244444,0.088889,0.177778,0.066667,0.088889,0.022222,0,0.044444,0.133333
Missouri,0.006024,0.006024,0.006024,0.078313,0.144578,0.445783,0.186747,0.066265,0.006024,0,0,0.054217
Montana,0,0.038462,0.173077,0.288462,0.25,0.211538,0.019231,0,0,0,0,0.019231
Nebraska,0,0.018182,0.090909,0.327273,0.254545,0.236364,0.054545,0,0,0,0,0.018182
Nevada,0,0.076923,0.153846,0.307692,0.076923,0.038462,0,0.038462,0.038462,0,0,0.269231
New Hampshire,0.014493,0,0.043478,0.231884,0.362319,0.289855,0.028986,0.014493,0,0,0,0.014493
New Jersey,0.009615,0,0.038462,0.182692,0.365385,0.201923,0.144231,0,0.009615,0,0,0.048077
New Mexico,0.017857,0.017857,0.071429,0.25,0.303571,0.160714,0.107143,0.035714,0,0,0,0.035714
New York,0.011111,0.008889,0.044444,0.133333,0.324444,0.253333,0.08,0.031111,0.015556,0.004444,0.002222,0.091111
North Carolina,0,0,0.018405,0.06135,0.134969,0.208589,0.220859,0.171779,0.055215,0,0,0.128834
North Dakota,0,0.0625,0.375,0.3125,0.1875,0,0,0,0,0,0,0.0625
Ohio,0.005435,0.005435,0.065217,0.173913,0.331522,0.277174,0.054348,0.027174,0.016304,0,0.005435,0.038043
Oklahoma,0.029412,0,0.147059,0.058824,0.147059,0.323529,0.147059,0.088235,0,0,0,0.058824
Oregon,0.016393,0.02459,0.057377,0.172131,0.188525,0.278689,0.122951,0.032787,0.02459,0,0,0.081967
Pennsylvania,0,0,0.006944,0.055556,0.215278,0.368056,0.159722,0.041667,0.006944,0,0,0.145833
Rhode Island,0,0.029412,0.058824,0.352941,0.147059,0.323529,0.029412,0,0,0,0,0.058824
South Carolina,0.014925,0,0.059701,0.089552,0.104478,0.343284,0.119403,0.089552,0.074627,0,0,0.104478
South Dakota,0,0.043478,0.043478,0.347826,0.130435,0.434783,0,0,0,0,0,0
Tennessee,0,0.012195,0.02439,0.085366,0.134146,0.329268,0.146341,0.121951,0.02439,0,0,0.121951
Texas,0.007874,0,0.031496,0.03937,0.047244,0.102362,0.110236,0.031496,0.062992,0.062992,0.023622,0.480315
Utah,0,0.032258,0.225806,0.322581,0.096774,0.258065,0,0.032258,0,0,0,0.032258
Vermont,0,0.029412,0.029412,0.088235,0.264706,0.529412,0.044118,0.014706,0,0,0,0
Virginia,0,0,0.038674,0.044199,0.104972,0.314917,0.18232,0.143646,0.038674,0,0,0.132597
Washington,0.007634,0,0.076336,0.198473,0.259542,0.29771,0.045802,0.022901,0.015267,0.015267,0,0.061069
West Virginia,0.053571,0,0.017857,0.178571,0.196429,0.357143,0.089286,0,0.017857,0,0,0.089286
Wisconsin,0.010204,0.005102,0.061224,0.081633,0.387755,0.346939,0.056122,0.030612,0.005102,0,0,0.015306
Wyoming,0,0.064516,0.354839,0.387097,0.16129,0,0,0,0,0,0,0.032258
