,state,num_markets,population,people_per_market,log_pop,log_markets,is_selected
43,Vermont,68,626562,9214.147059,13.348003,4.219508,Vermont
7,District of Columbia,44,658893,14974.84091,13.398316,3.78419,other
48,Wyoming,31,584153,18843.64516,13.277918,3.433987,other
27,New Hampshire,69,1326813,19229.17391,14.09829,4.234107,other
24,Montana,52,1023579,19684.21154,13.838816,3.951244,other
17,Maine,66,1330089,20152.86364,14.100756,4.189655,other
19,Massachusetts,240,6745408,28105.86667,15.724373,5.480639,other
47,Wisconsin,196,5757564,29375.32653,15.566025,5.278115,other
13,Iowa,101,3107126,30763.62376,14.949209,4.615121,other
37,Rhode Island,34,1055173,31034.5,13.869215,3.526361,other
35,Oregon,122,3970239,32542.94262,15.194337,4.804021,other
46,West Virginia,56,1850326,33041.53571,14.430872,4.025352,other
6,Delaware,28,935614,33414.78571,13.748958,3.332205,other
25,Nebraska,55,1881503,34209.14546,14.447581,4.007333,other
23,Missouri,166,6063589,36527.64458,15.617812,5.111988,other
39,South Dakota,23,853175,37094.56522,13.65672,3.135494,other
29,New Mexico,56,2085572,37242.35714,14.550554,4.025352,other
14,Kansas,77,2904021,37714.55844,14.881607,4.343805,other
20,Michigan,238,9909877,41638.13866,16.109042,5.472271,other
21,Minnesota,127,5457173,42969.86614,15.512441,4.844187,other
30,New York,450,19746227,43880.50444,16.798473,6.109248,other
10,Idaho,37,1634464,44174.7027,14.306825,3.610918,other
12,Indiana,144,6596855,45811.49306,15.702104,4.969813,other
44,Virginia,181,8326289,46001.59668,15.934928,5.198497,other
32,North Dakota,16,739482,46217.625,13.513705,2.772589,other
15,Kentucky,95,4413457,46457.44211,15.300169,4.553877,other
2,Arkansas,59,2966369,50277.44068,14.902849,4.077537,other
18,Maryland,115,5976407,51968.75652,15.60333,4.744932,Maryland
45,Washington,131,7061530,53904.80916,15.770172,4.875197,other
4,Colorado,98,5355866,54651.69388,15.493703,4.584967,other
31,North Carolina,163,9943964,61005.91411,16.112476,5.09375,other
33,Ohio,184,11594163,63011.75544,16.266012,5.214936,other
22,Mississippi,45,2994079,66535.08889,14.912147,3.806662,other
5,Connecticut,54,3596677,66605.12963,15.095521,3.988984,other
11,Illinois,191,12880580,67437.59162,16.371231,5.252273,other
0,Alabama,71,4849377,68301.08451,15.394361,4.26268,other
38,South Carolina,67,4832482,72126.59702,15.390871,4.204693,other
40,Tennessee,82,6549352,79870.14634,15.694877,4.406719,other
9,Georgia,124,10097343,81430.18548,16.127783,4.820282,other
16,Louisiana,57,4649676,81573.26316,15.352308,4.043051,other
28,New Jersey,104,8938175,85943.99039,16.005842,4.644391,other
3,California,442,38802500,87788.46154,17.473995,6.09131,other
36,Pennsylvania,144,12787209,88800.0625,16.363956,4.969813,other
42,Utah,31,2942902,94932.32258,14.894907,3.433987,other
1,Arizona,66,6731484,101992.1818,15.722306,4.189655,other
26,Nevada,26,2839099,109196.1154,14.858997,3.258097,other
34,Oklahoma,34,3878051,114060.3235,15.170843,3.526361,other
8,Florida,156,19893297,127521.1346,16.805893,5.049856,other
41,Texas,127,26956958,212259.5118,17.109752,4.844187,Texas
